open_time,open,high,low,close,volume
1754154000000,3470.59,3479.6,3412.77,3422.85,336588.554
1754157600000,3422.85,3432.51,3371.13,3382.05,628621.193
1754161200000,3382.04,3423.78,3374.1,3381.35,343058.943
1754164800000,3381.34,3422.84,3379.76,3422.5,170835.877
1754168400000,3422.51,3442.49,3404.35,3410.92,189782.031
1754172000000,3410.92,3427.0,3386.82,3409.17,142360.5
1754175600000,3409.18,3417.68,3366.5,3392.42,297119.444
1754179200000,3392.42,3411.84,3353.51,3408.28,408554.515
1754182800000,3408.25,3421.92,3400.02,3412.3,159510.549
1754186400000,3412.3,3443.88,3411.79,3441.91,164164.782
1754190000000,3441.9,3450.84,3437.45,3441.97,101049.305
1754193600000,3441.98,3446.65,3432.1,3443.12,98504.333
1754197200000,3443.12,3454.61,3439.48,3443.57,120475.233
1754200800000,3443.56,3447.06,3435.31,3439.01,60306.559
1754204400000,3439.0,3458.67,3439.0,3454.23,101156.658
1754208000000,3454.23,3467.0,3451.82,3460.84,121895.939
1754211600000,3460.85,3465.86,3453.0,3464.2,58063.063
1754215200000,3464.21,3485.95,3463.28,3482.81,188349.204
1754218800000,3482.81,3514.0,3482.2,3483.4,324936.305
1754222400000,3483.41,3502.68,3473.6,3488.0,181933.606
1754226000000,3487.99,3497.99,3482.29,3490.58,110540.011
1754229600000,3490.59,3492.97,3461.87,3470.54,212069.472
1754233200000,3470.53,3476.97,3452.79,3474.65,184593.271
1754236800000,3474.66,3495.0,3465.97,3493.29,135567.805
1754240400000,3493.29,3497.97,3478.15,3488.41,82760.094
1754244000000,3488.41,3496.69,3479.61,3494.98,68445.295
1754247600000,3494.97,3513.64,3486.73,3495.32,138604.177
1754251200000,3495.33,3496.7,3481.85,3490.76,81044.119
1754254800000,3490.77,3507.34,3487.22,3500.68,63405.013
1754258400000,3500.67,3515.09,3481.58,3501.42,114298.57
1754262000000,3501.43,3520.97,3494.28,3495.0,147303.349
1754265600000,3495.01,3550.0,3489.28,3543.9,269934.809
1754269200000,3543.91,3558.0,3532.0,3535.8,200091.54
1754272800000,3535.81,3570.63,3522.21,3570.01,224477.266
1754276400000,3570.01,3575.0,3553.16,3555.0,126766.549
1754280000000,3555.0,3564.43,3533.95,3538.21,178676.625
1754283600000,3538.2,3539.78,3522.01,3531.8,121742.993
1754287200000,3531.8,3540.3,3518.36,3537.26,148678.482
1754290800000,3537.27,3552.73,3534.63,3550.66,120573.466
1754294400000,3550.67,3562.99,3539.79,3549.15,179195.768
1754298000000,3549.16,3562.49,3543.45,3545.61,104200.778
1754301600000,3545.62,3573.63,3543.45,3553.42,131360.257
1754305200000,3553.41,3565.01,3548.49,3554.0,83628.483
1754308800000,3554.01,3572.0,3549.16,3568.69,105773.504
1754312400000,3568.69,3619.89,3558.62,3619.62,544422.106
1754316000000,3619.62,3663.88,3616.22,3637.98,744266.933
1754319600000,3637.99,3656.01,3633.0,3646.59,184666.339
1754323200000,3646.6,3697.55,3646.41,3683.05,411515.481
1754326800000,3683.06,3716.93,3676.0,3679.58,426545.391
1754330400000,3679.58,3692.5,3669.03,3674.89,175088.952
1754334000000,3674.88,3687.0,3664.58,3668.14,125375.332
1754337600000,3668.14,3711.0,3658.9,3698.28,228634.597
1754341200000,3698.28,3730.0,3697.04,3708.56,202926.029
1754344800000,3708.57,3735.0,3708.57,3730.77,154122.312
1754348400000,3730.76,3732.0,3707.0,3719.42,123848.401
1754352000000,3719.41,3720.1,3691.18,3695.42,170328.721
1754355600000,3695.42,3705.49,3677.0,3678.81,152454.144
1754359200000,3678.81,3686.59,3671.0,3678.88,102119.829
1754362800000,3678.87,3679.93,3646.72,3650.4,220181.068
1754366400000,3650.4,3666.87,3642.32,3647.62,156998.065
1754370000000,3647.62,3666.89,3645.51,3662.77,128206.888
1754373600000,3662.76,3678.35,3633.0,3649.16,273896.997
1754377200000,3649.15,3655.63,3598.74,3611.76,419460.715
1754380800000,3611.76,3637.03,3606.65,3633.0,211651.128
1754384400000,3633.0,3664.9,3631.65,3658.81,224627.334
1754388000000,3658.82,3692.3,3651.67,3680.92,243405.845
1754391600000,3680.93,3684.35,3660.02,3672.58,162575.912
1754395200000,3672.58,3678.89,3608.0,3626.88,424629.378
1754398800000,3626.89,3658.65,3617.0,3645.29,322772.502
1754402400000,3645.28,3646.22,3557.58,3576.34,850875.291
1754406000000,3576.33,3596.71,3555.0,3568.46,421872.137
1754409600000,3568.46,3593.24,3561.71,3576.16,253529.85
1754413200000,3576.16,3607.84,3575.0,3603.83,189285.94
1754416800000,3603.82,3611.0,3565.87,3585.9,174058.716
1754420400000,3585.91,3593.17,3558.0,3570.18,136912.142
1754424000000,3570.18,3596.47,3570.18,3575.19,128553.056
1754427600000,3575.2,3589.46,3568.03,3573.8,57887.387
1754431200000,3573.79,3597.2,3542.58,3595.3,219464.174
1754434800000,3595.29,3623.98,3591.86,3610.19,169420.927
1754438400000,3610.19,3612.48,3569.3,3575.27,199931.775
1754442000000,3575.26,3593.12,3562.34,3591.01,190928.433
1754445600000,3591.0,3595.37,3572.27,3590.85,87581.388
1754449200000,3590.85,3593.51,3570.1,3582.02,72500.012
1754452800000,3582.03,3583.5,3568.59,3572.41,65829.488
1754456400000,3572.4,3661.4,3568.0,3637.19,443157.641
1754460000000,3637.2,3642.97,3615.36,3630.95,176088.882
1754463600000,3630.95,3648.0,3623.1,3638.4,110007.227
1754467200000,3638.39,3641.8,3608.0,3620.79,163580.125
1754470800000,3620.79,3644.0,3615.25,3625.99,144942.729
1754474400000,3625.99,3632.52,3610.0,3614.74,160705.865
1754478000000,3614.74,3629.48,3608.18,3618.16,88960.974
1754481600000,3618.15,3622.14,3577.44,3582.91,292146.538
1754485200000,3582.92,3603.17,3571.05,3601.0,260275.55
1754488800000,3601.0,3635.0,3586.12,3634.99,343403.246
1754492400000,3634.99,3668.0,3618.24,3662.65,312965.198
1754496000000,3662.66,3672.92,3637.64,3643.35,262353.123
1754499600000,3643.36,3685.33,3636.78,3680.75,189576.059
1754503200000,3680.75,3697.39,3670.72,3675.76,228250.15
1754506800000,3675.76,3684.62,3668.0,3682.13,93210.411
1754510400000,3682.13,3682.13,3665.0,3672.75,71069.694
1754514000000,3672.74,3683.89,3648.19,3668.38,121357.929
1754517600000,3668.38,3681.2,3664.16,3680.87,69825.056
1754521200000,3680.87,3684.92,3672.04,3681.21,50389.693
1754524800000,3681.21,3681.3,3662.33,3672.62,84868.741
1754528400000,3672.63,3716.38,3665.0,3665.69,276779.22
1754532000000,3665.68,3676.84,3648.05,3657.64,158290.645
1754535600000,3657.63,3663.61,3645.78,3655.06,77242.499
1754539200000,3655.06,3668.57,3653.45,3660.11,69158.079
1754542800000,3660.11,3686.97,3657.28,3685.89,104549.348
