side,entry_time,exit_time,entry_price,exit_price,gross_ret,fee_ret,net_ret,pnl,reason,capital_before,capital_after,position_notional,fee_usd,slippage_usd
short,2025-11-24 06:00:00+00:00,2025-11-24 16:00:00+00:00,2837.81,2851.9990499999994,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-61.89891940320975,SL,10913.991397223557,10852.092477820348,10913.991397223557,7.6004547404074465,0.0
short,2025-11-25 03:00:00+00:00,2025-11-25 04:00:00+00:00,2910.29,2924.8414499999994,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-61.547858449995175,SL,10852.092477820348,10790.544619370352,10852.092477820348,7.5573486100943965,0.0
short,2025-11-25 05:00:00+00:00,2025-11-25 22:00:00+00:00,2927.25,2941.8862499999996,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-61.19878854596303,SL,10790.544619370352,10729.345830824388,10790.544619370352,7.51448695705725,0.0
long,2025-11-29 20:00:00+00:00,2025-11-30 14:00:00+00:00,2996.21,3036.65,0.013497051274777183,-0.0007093237825035459,0.012787727492273637,137.20395065494455,TRAIL_RSI,10729.345830824388,10866.549781479333,10729.345830824388,7.610580168509005,0.0
long,2025-12-06 04:00:00+00:00,2025-12-06 08:00:00+00:00,3035.04,3019.8648,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-61.899976333609445,SL,10866.549781479333,10804.649805145724,10866.549781479333,7.567227426212733,0.0
long,2025-12-11 18:00:00+00:00,2025-12-12 15:00:00+00:00,3202.11,3186.09945,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-61.54737066325841,SL,10804.649805145724,10743.102434482465,10804.649805145724,7.5241216375297455,0.0
short,2025-12-19 17:00:00+00:00,2025-12-19 18:00:00+00:00,2938.23,2952.9211499999997,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-60.92971925024831,SL,10743.102434482465,10682.172715232216,10743.102434482465,7.4814484319290235,0.0
short,2025-12-19 23:00:00+00:00,2025-12-21 09:00:00+00:00,2978.33,2993.2216499999995,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-60.58415513498881,SL,10682.172715232216,10621.588560097227,10682.172715232216,7.439017248262793,0.0
long,2026-01-08 01:00:00+00:00,2026-01-08 02:00:00+00:00,3174.2,3158.3289999999997,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-60.504584593717176,SL,10621.588560097227,10561.08397550351,10621.588560097227,7.396641793230993,0.0
long,2026-01-08 04:00:00+00:00,2026-01-08 06:00:00+00:00,3153.02,3137.2549,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-60.15992760233163,SL,10561.08397550351,10500.924047901179,10561.08397550351,7.35450772481403,0.0
short,2026-01-11 22:00:00+00:00,2026-01-12 02:00:00+00:00,3108.26,3123.8013,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-59.556199711283384,SL,10500.924047901179,10441.367848189895,10500.924047901179,7.312796487894669,0.0
short,2026-01-27 06:00:00+00:00,2026-01-27 16:00:00+00:00,2928.08,2942.7203999999997,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-59.21842553942284,SL,10441.367848189895,10382.149422650473,10441.367848189895,7.271321817085287,0.0
short,2026-02-07 06:00:00+00:00,2026-02-07 17:00:00+00:00,2046.54,2056.7726999999995,-0.004975124378109208,-0.0006963955223879825,-0.005671519900497191,-58.88256706049757,SL,10382.149422650473,10323.266855589975,10382.149422650473,7.230082370696767,0.0
short,2026-02-08 03:00:00+00:00,2026-02-08 08:00:00+00:00,2077.86,2088.2493,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-58.548613409622746,SL,10323.266855589975,10264.718242180352,10323.266855589975,7.189076814649126,0.0
short,2026-02-08 10:00:00+00:00,2026-02-08 11:00:00+00:00,2095.0,2105.475,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-58.21655378352469,SL,10264.718242180352,10206.501688396827,10264.718242180352,7.14830382242864,0.0
short,2026-02-08 15:00:00+00:00,2026-02-08 19:00:00+00:00,2107.31,2117.8465499999998,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-57.88637744020191,SL,10206.501688396827,10148.615310956626,10206.501688396827,7.107762075044934,0.0
short,2026-02-08 20:00:00+00:00,2026-02-09 12:00:00+00:00,2103.49,2034.59,0.033864316643648085,-0.0007235783732717493,0.033140738270376335,336.33260382714747,TRAIL_RSI,10148.615310956626,10484.947914783774,10148.615310956626,7.343318557662764,0.0
short,2026-02-21 20:00:00+00:00,2026-02-22 15:00:00+00:00,1973.16,1952.81,0.01042088067963598,-0.0007071708399177812,0.009713709839718199,101.84774172876796,TRAIL_RSI,10484.947914783774,10586.795656512542,10484.947914783774,7.41464942339183,0.0
long,2026-03-14 18:00:00+00:00,2026-03-15 07:00:00+00:00,2075.73,2104.97,0.014086610493657448,-0.0007097364017356611,0.013376874091921787,141.61823253407272,TRAIL_RSI,10586.795656512542,10728.413889046615,10586.795656512542,7.513834255163938,0.0
long,2026-03-19 02:00:00+00:00,2026-03-19 06:00:00+00:00,2195.59,2184.61205,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-61.11310205940507,SL,10728.413889046615,10667.300786987209,10728.413889046615,7.471032614171948,0.0
long,2026-03-19 09:00:00+00:00,2026-03-19 10:00:00+00:00,2188.22,2177.2789,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-60.7649787224469,SL,10667.300786987209,10606.535808264762,10667.300786987209,7.4284747875108055,0.0
short,2026-03-30 17:00:00+00:00,2026-03-31 01:00:00+00:00,2040.67,2050.87335,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-60.15517891191083,SL,10606.535808264762,10546.38062935285,10606.535808264762,7.386344044923381,0.0
