side,entry_time,exit_time,entry_price,exit_price,gross_ret,fee_ret,net_ret,pnl,reason,capital_before,capital_after,position_notional,fee_usd,slippage_usd,window_id
long,2025-07-22 10:00:00+00:00,2025-07-23 00:00:00+00:00,3672.46,3733.42,0.016599227765584867,-0.0014227407852502871,0.01517648698033458,163.24989392321572,TRAIL_RSI,10756.764337804394,10920.01423172761,10756.764337804394,15.304087340720109,0.0,8
long,2025-07-28 20:30:00+00:00,2025-07-29 01:30:00+00:00,3786.2,3757.8035,-0.007499999999999951,-0.0013890136749999948,-0.008889013674999946,-97.06815583702075,SL,10920.01423172761,10822.946075890588,10920.01423172761,15.168049099064213,0.0,8
long,2025-07-29 03:00:00+00:00,2025-07-29 10:00:00+00:00,3782.31,3852.32,0.018509852444670072,-0.001425414723594809,0.017084437721075263,184.90394819210866,TRAIL_RSI,10822.946075890588,11007.850024082696,10822.946075890588,15.427186689247105,0.0,8
short,2025-08-03 14:00:00+00:00,2025-08-03 19:00:00+00:00,3470.19,3496.216425,-0.007444168734491274,-0.0013890918114144446,-0.008833260545905719,-97.235207312977,SL,11007.850024082696,10910.61481676972,11007.850024082696,15.29091432973157,0.0,8
short,2025-08-03 20:00:00+00:00,2025-08-04 00:30:00+00:00,3487.17,3513.3237750000003,-0.007444168734491385,-0.0013890918114144446,-0.00883326054590583,-96.37630339254753,SL,10910.61481676972,10814.238513377171,10910.61481676972,15.155845699471929,0.0,8
short,2025-08-04 04:30:00+00:00,2025-08-04 12:30:00+00:00,3538.21,3564.746575,-0.007444168734491385,-0.0013890918114144446,-0.00883326054590583,-95.52498639422988,SL,10814.238513377171,10718.713526982941,10814.238513377171,15.021970165614945,0.0,8
long,2025-08-06 05:00:00+00:00,2025-08-06 06:00:00+00:00,3626.0,3619.88,-0.001687810259238809,-0.0013971478926640968,-0.0030849581519029057,-33.06678267297797,TRAIL_RSI,10718.713526982941,10685.646744309963,10718.713526982941,14.975628016294365,0.0,9
long,2025-08-14 22:00:00+00:00,2025-08-15 08:30:00+00:00,4518.78,4639.43,0.026699684428098003,-0.0014368764753540653,0.025262807952743938,269.94944155236607,TRAIL_RSI,10685.646744309963,10955.596185862329,10685.646744309963,15.353954430842743,0.0,9
short,2025-09-02 11:00:00+00:00,2025-09-02 13:00:00+00:00,4368.2,4304.55,0.014786679211531872,-0.0014202041054234282,0.013366475106108444,146.43770369090544,TRAIL_RSI,10955.596185862329,11102.033889553233,10955.596185862329,15.55918268052293,0.0,11
long,2025-09-04 09:30:00+00:00,2025-09-04 14:30:00+00:00,4393.28,4349.3472,-0.009999999999999898,-0.001385514900000051,-0.011385514899999949,-126.40237226981273,SL,11102.033889553233,10975.63151728342,11102.033889553233,15.382033374281527,0.0,11
